studentID,abi_note,abi_m_note,m_vertief,m_vorbereit,finanz_eltern,sprache,fachsem,sex,gebu,Zulassung,ProzentT1,NoteT1,ProzentT2,NoteT2,ProzentP,NoteP,bfi_ex,bfi_ve,bfi_ge,bfi_ne,bfi_of,iq,Ikont,Ekont,fw_pkt,Av,Iv,Se,Uv,Co,Pa,Na,aist_r,aist_i,aist_a,aist_s,aist_e,aist_c
student1,1.9,2.0,0.0,0,0,0,1.0,1.0,1998.0,,,,,,,,2.67,2.33,4.33,4.33,4.0,116,4.5,1.0,9,2.75,3.5,2.5,3.33,2.0,3.5,2.7,3.4,4.4,3.2,1.0,2.2,2.0
student10,2.4,3.3,0.0,0,1,0,1.0,1.0,1998.0,,,,,,,,2.33,2.33,3.33,2.67,3.67,130,4.5,2.0,9,3.0,3.25,2.25,3.25,3.0,3.6,1.6,2.6,4.2,3.0,4.2,2.8,2.4
student100,2.2,2.0,0.0,0,1,0,2.0,0.0,1993.0,1.0,0.77,2.0,0.7,2.3,0.74,2.3,2.0,3.33,2.33,1.33,4.0,113,5.0,1.5,13,3.75,4.0,2.25,2.75,1.67,4.1,1.2,3.4,4.0,1.4,2.6,2.4,1.6
student101,1.6,1.0,1.0,0,1,0,1.0,0.0,1998.0,1.0,0.75,2.3,0.71,2.3,0.73,2.3,1.67,2.67,2.67,3.33,4.67,99,4.5,2.0,16,3.25,4.0,2.67,3.75,2.33,3.5,2.0,3.0,3.6,1.8,1.4,2.0,2.4
student102,1.7,1.3,0.0,0,1,0,1.0,0.0,1995.0,,,,,,,,3.67,3.33,3.67,2.33,4.0,106,4.5,2.0,7,3.0,4.0,2.0,3.25,2.17,3.9,1.4,2.4,3.6,3.0,2.0,3.8,3.0
student103,1.7,14.0,0.0,1,1,0,1.0,0.0,1999.0,1.0,0.87,1.3,0.6,3.0,0.73,2.3,2.33,3.33,3.0,2.67,3.67,113,4.5,1.0,9,3.0,3.75,1.75,3.0,2.67,3.6,1.8,2.6,4.6,4.0,3.6,2.4,3.4
student104,2.2,7.0,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.24,5.0,0.13,5.0,0.19,5.0,2.67,4.33,2.67,2.67,3.33,113,4.0,2.0,4,2.75,2.0,2.0,2.5,2.67,3.9,2.7,4.8,4.2,2.6,3.4,3.4,2.8
student105,1.8,1.0,0.0,0,1,0,1.0,0.0,1999.0,1.0,0.92,1.0,0.91,1.0,0.91,1.0,3.33,4.67,1.67,1.0,4.33,106,4.0,1.5,16,3.0,4.0,2.5,3.5,2.5,4.2,1.5,3.2,4.4,2.8,3.0,4.0,3.8
student106,1.6,1.0,0.0,0,0,0,1.0,0.0,1993.0,1.0,0.75,2.0,0.85,1.3,0.8,1.7,2.67,4.67,2.67,1.67,3.0,116,5.0,2.0,17,3.0,3.75,2.0,2.75,1.67,3.9,1.8,3.4,4.4,1.6,3.0,2.4,2.2
student107,1.2,14.0,0.0,0,1,0,1.0,0.0,1999.0,1.0,0.87,1.3,0.74,2.3,0.81,1.7,2.0,3.0,3.0,1.67,2.67,120,4.5,1.5,19,3.25,4.0,2.5,3.75,2.17,3.3,2.4,4.0,4.6,1.6,2.6,4.4,3.4
student108,1.6,1.6,0.0,0,0,0,1.0,0.0,1998.0,1.0,0.21,5.0,,,0.11,5.0,1.67,2.67,2.0,3.33,3.0,123,4.0,1.5,10,2.75,3.0,2.0,3.5,1.83,3.1,2.3,3.6,4.8,2.0,1.6,2.2,2.0
student109,1.5,1.0,0.0,0,1,0,1.0,0.0,1997.0,1.0,0.6,3.0,0.59,3.3,0.6,3.3,2.67,4.0,3.67,2.0,4.0,95,5.0,2.0,10,2.5,4.0,2.25,2.75,1.5,4.1,2.0,4.2,4.4,2.8,2.6,3.0,2.0
student11,1.5,12.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.34,5.0,0.32,5.0,0.33,5.0,3.33,4.0,5.0,2.0,3.67,123,4.5,1.0,10,3.25,3.5,3.0,3.25,1.67,4.3,1.4,2.0,4.8,1.2,5.0,4.6,3.2
student110,2.1,1.25,0.0,0,1,0,1.0,0.0,1996.0,1.0,0.57,3.3,0.61,3.0,0.59,3.3,3.33,5.0,2.67,1.33,4.33,133,4.0,1.0,13,2.5,2.75,2.0,2.5,2.83,3.8,1.2,3.4,4.8,1.6,4.8,3.8,1.2
